"","STRATUM","NperHa","area_km2","Ws","p","eq","n_trans_p","n_trans_eq"
"1","1",4705.05536840656,261,1228019.45115411,0.05,0.057,2,3
"2","2",3560.00036999665,501,1783560.18536832,0.072,0.109,3,5
"3","3",9349.30573947828,650,6077048.73066088,0.245,0.141,12,7
"4","4",5440.35906507377,692,3764728.47303105,0.152,0.15,7,7
"5","5",6198.22362776734,580,3594969.70410506,0.145,0.126,7,6
"6","6",4615.99462722951,549,2534181.050349,0.102,0.119,5,6
"7","7",6234.46991546719,459,2861621.69119944,0.116,0.1,6,5
"8","8",5468.0240366604,375,2050509.01374765,0.083,0.081,4,4
"9","9",1882.86673981283,229,431176.483417137,0.017,0.05,1,2
"10","10",1418.99878857155,306,434213.629302893,0.018,0.066,1,3
