GRID,AREA,PERIMETER,long,lat
520,254.63110451408386,64511.566,-80.25000006325641,42.24999431157868
521,252.65864009335505,64512.902,-80.08337822352381,42.250622174215856
522,188.7255084012295,64514.869,-79.92436233289217,42.26996005320805
523,92.94058896182662,64516.97,-79.7643633910747,42.30019434138916
620,147.58359730082992,64582.555,-80.25994593377091,42.11642403542332
125,46.049551817807675,64234.633,-79.41078726001405,42.85023410396026
126,79.40162048053584,64237.559,-79.24826821447432,42.880977430620725
127,46.26900543682876,64240.613,-79.08082803245877,42.850155775113194
128,94.03884418408364,64244.287,-78.93947904174313,42.897710070401324
220,128.26808893122535,64296.536,-80.23108640663706,42.71601216193578
221,193.22166476729345,64297.844,-80.08096538416056,42.730583943951856
222,224.43253734156298,64299.775,-79.91387808578955,42.74098922919502
223,252.31321532748865,64301.836,-79.74990447689947,42.749890126642555
224,252.6310157047882,64304.028,-79.58333364144772,42.74999369317362
225,252.6325315052185,64306.841,-79.41666715806728,42.74999368832943
226,252.63253150523377,64309.786,-79.25000017470208,42.74999368254223
227,237.00717164418617,64312.861,-79.08713130829767,42.754481812389386
228,122.28093670159022,64316.559,-78.93953760336439,42.781687990860405
320,84.86211278354787,64368.223,-80.25647277055795,42.52842846402351
320,130.09456139143535,64368.223,-80.24182767074149,42.622039415665625
321,230.2411669564814,64369.541,-80.07846853294629,42.585868066703114
322,253.29939434056092,64371.483,-79.91666710254452,42.58332740587826
323,253.2993943405304,64373.557,-79.75000011831884,42.58332740184037
324,253.29787453900147,64375.764,-79.58333363410864,42.58332739686163
325,253.29939434056092,64378.596,-79.41666714986492,42.58332739203324
326,213.0047454792995,64381.559,-79.25588355006171,42.595504104524125
327,62.71848062212959,64384.655,-79.12987723118862,42.62409091918317
420,253.96710618846132,64440.122,-80.25000006712906,42.416661112780815
421,253.96558238058472,64441.449,-80.08333358205635,42.41666110954222
422,253.9671061884918,64443.403,-79.91666709696189,42.41666110645547
423,253.96710618846132,64445.491,-79.75000011187747,42.416661102429984
424,226.52396969100087,64447.713,-79.5889705709452,42.42455612027527
425,86.5461523451896,64450.562,-79.4446225925242,42.46181385293046
